#1GeV,,10GeV,,100GeV,,1TeV,,10TeV,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0010226323711271259,1.8452907609774978e-25,0.0010725174852061882,1.4123568781493645e-27,0.001065662989092866,1.3822771279876596e-29,0.07706713802828898,1.009483036912053e-29,7.592261889408357,1.0076616099016452e-29
0.0013131519199393552,2.5460622759802077e-25,0.0013131519199393552,1.723005885529413e-27,0.0013131519199393565,1.6871923297320543e-29,0.09379813804565729,1.172667709059537e-29,9.38729393507656,1.1991472246838935e-29
0.0015982325049644273,3.2162257449832853e-25,0.0015982325049644273,2.1034481796347368e-27,0.0015982325049644288,2.0597269367876442e-29,0.11416137832447683,1.4638963900148902e-29,11.246597500183553,1.4334375057491864e-29
0.0019452030653413156,4.062786735532977e-25,0.0019452030653413156,2.5678927051657823e-27,0.0019452030653413156,2.506722740249232e-29,0.13894540523395554,1.7852783077799477e-29,13.688193591397349,1.7427133081401744e-29
0.0023674996933549875,5.1588020999518275e-25,0.0023674996933549875,3.1348872813157194e-27,0.0023674996933549875,3.044416148546423e-29,0.16910995573963603,2.1704666253140913e-29,16.65985146107646,2.123107907679325e-29
0.002881475408868154,6.496477904063639e-25,0.002881475408868154,3.823116375477452e-27,0.002881475408868154,3.712783327377195e-29,0.20582312226955712,2.6414948260628484e-29,20.276645625436203,2.5811857095204243e-29
0.003507033413865343,8.1556514926180195e-25,0.003507033413865343,4.672099061770814e-27,0.003507033413865343,4.5185205039216115e-29,0.2505065859399315,3.214744163645951e-29,24.67863286657157,3.1380975234155476e-29
0.0042683978242934835,1.0133154685430026e-24,0.0042683978242934835,5.709611609788889e-27,0.0042683978242934835,5.49911636205906e-29,0.30489066975232615,3.9123983646409067e-29,30.036275793024547,3.827031389970685e-29
0.005195051725028386,1.2332221726461461e-24,0.005195051725028386,6.991977583752663e-27,0.005195051725028386,6.692518211928046e-29,0.37108134364304685,4.7614554018770844e-29,36.55704383595232,4.647931730759541e-29
0.006322878873219281,1.4670660926404163e-24,0.006322878873219281,8.553503150586679e-27,0.006322878873219281,8.144908575860305e-29,0.45164177608907774,5.806779154873396e-29,44.49344729795377,5.662469303376377e-29
0.007695553261345879,1.665834962024094e-24,0.007695553261345879,1.0485446970703507e-26,0.007695553261345879,9.912492369596558e-29,0.5496915902759864,7.052336481529526e-29,54.152815565159734,6.891321521907252e-29
0.009366230349445033,1.7394315934691993e-24,0.009366230349445033,1.2893721364968855e-26,0.009366230349445033,1.208866810805861e-28,0.6690276684248714,8.582813534356341e-29,66.38175876356523,8.226900478815005e-29
0.01119780766363673,1.5564006816857386e-24,0.011399605457804687,1.5871540494422368e-26,0.011399605457804687,1.4696896589567437e-28,0.8142711823065929,1.0456246130567528e-28,80.21784930952744,1.020694600137109e-28
0.012689097141133818,1.1567347720970792e-24,0.01408845947092993,1.9590445383298392e-26,0.01400849741489487,1.7852025431553615e-28,0.9910465435547738,1.2699116684085615e-28,97.63285747679963,1.240917763119415e-28
0.0156869333271937,9.984848032591812e-30,0.01595792939757974,2.332136330315789e-26,0.016489115888713813,2.1311658332445064e-28,1.2061992034516704,1.5487064315961627e-28,118.828601628353,1.5102180391163913e-28
0.01338755206668936,8.85153125509244e-25,0.019480241126093097,2.819969291288779e-26,0.020188681756740223,2.6057539455929847e-28,1.4437909914089906,1.7904032291347388e-28,144.6258660236915,1.8417693517401593e-28
0.013957267830080694,6.422979398440941e-25,0.023709331798947277,3.492866508566087e-26,0.02457157235660496,3.1679665562749906e-28,1.7867714712512515,2.2914634700506104e-28,176.02362424933227,2.2345161083111297e-28
0.014251153966184885,4.82278547118809e-25,0.02885654293055007,4.344276601232232e-26,0.029905972829271012,3.8594614590216206e-28,2.174673166855471,2.791637724173207e-28,214.23772348436236,2.7222600511699535e-28
0.01456360945298701,3.3940978344617176e-25,0.035121195188624096,5.420025806915116e-26,0.036398452564826836,4.697030286710484e-28,2.6467869331545897,3.3974706261969243e-28,260.74796698168944,3.316467381296642e-28
,,0.042745881044937734,6.762156843165397e-26,0.044300426429105526,5.716365806090606e-28,3.2213949094923686,4.134779579714102e-28,317.3554179875651,4.0278514610447817e-28
,,0.052025858929191794,8.454113245908078e-26,0.053917890556068694,6.964118188235282e-28,3.920748222273795,5.037307732257189e-28,386.2521441370795,4.907039642124577e-28
,,0.0633204868201146,1.0624248559598056e-25,0.06562327174589458,8.466683338075168e-28,4.771928637860021,6.1178130149953945e-28,470.1061031084626,5.9781345668433e-28
,,0.07706713802828889,1.3379112956349431e-25,0.07986984932500886,1.0325448034033179e-27,5.807897277224953,7.445482569257074e-28,572.1644566493126,7.283025103871725e-28
,,0.09379813804565719,1.6865758839774564e-25,0.09720930794034538,1.2592283524301325e-27,7.06877100281284,9.098868229433098e-28,696.3793137084047,8.891128013916137e-28
,,0.11416137832447659,2.128305267706253e-25,0.11831310100245788,1.5372678688498859e-27,8.60337590441722,1.1073477505141125e-27,847.5607719516499,1.0753670051001743e-27
,,0.13894540523395524,2.6940791938558726e-25,0.14399845205572293,1.8708811619031496e-27,10.47113804128799,1.3504534416822066e-27,988.5503837382275,1.2660803845297125e-27
,,0.16910995573963566,3.4137857709483337e-25,0.17526000095300995,2.2816119894563464e-27,12.74438465758697,1.648635595179696e-27,1211.4547198658697,1.5634290683025885e-27
,,0.2058231222695567,4.321282927474493e-25,0.21330832030168506,2.7882795573893408e-27,15.511144983488375,2.0105749188153133e-27,1474.4572064987146,1.9145717338492116e-27
,,0.250506585939931,5.4813568399697e-25,0.2596167936922799,3.403935882378732e-27,18.87855908018011,2.446903897770753e-27,1794.5565922898854,2.351871056289475e-27
,,0.3048906697523255,6.924135812571075e-25,0.3159786710229289,4.164140394554175e-27,22.977026732922567,2.9871839630574323e-27,2184.1484098263027,2.9100580227604475e-27
,,0.37108134364304607,8.656620904717433e-25,0.38457651033067786,5.0941221646748846e-27,27.9652570539511,3.6580987877414094e-27,2658.319217483969,3.61940456227062e-27
,,0.4516417760890768,1.0722251951056518e-24,0.46806669519598487,6.231797722903198e-27,34.03641433610702,4.470436742051126e-27,3235.4308115017548,4.557915056458085e-27
,,0.5496915902759852,1.295496917265452e-24,0.5696823005734534,7.639347692432956e-27,41.42559814931069,5.474486817354945e-27,3902.821553322465,5.792956128073513e-27
,,0.6690276684248699,1.5111405031445599e-24,0.693358290426486,9.374512083915066e-27,50.41894733922343,6.697109605857624e-27,4624.539097494789,7.364333424517884e-27
,,0.8142711823065912,1.6497090368685649e-24,0.8438838953206202,1.1491893742433312e-26,61.823098459724896,8.316076216299587e-27,5382.715168501422,9.472043788187352e-27
,,0.9910465435547718,1.5775311758201611e-24,1.0270880706473797,1.411670912974613e-26,72.30035719655575,9.616423363099415e-27,6154.283895097435,1.2367917736365194e-26
,,1.1432694183307428,1.2540112957803925e-24,1.2500652171651627,1.702099350750476e-26,87.7112092826283,1.1948166845855372e-26,6850.439383017531,1.618318381105547e-26
,,1.2248072193689288,9.284105448401417e-25,1.4580104353826027,2.0661544014538697e-26,106.75299909831325,1.4783913724385e-26,7567.1959355638,2.128607131958398e-26
,,1.2801919552215835,6.673239845781772e-25,1.786771471251248,2.5526450098102433e-26,129.9286933755858,1.825486494516266e-26,8045.06912623517,2.767033938536543e-26
,,1.3071478517317061,5.15046580433311e-25,2.1746731668554666,3.161753672484027e-26,158.13574798718474,2.2775216264191682e-26,8407.854050378211,3.523674810985243e-26
,,1.3426411046250348,3.613648769480278e-25,2.646786933154584,3.9324527474916966e-26,192.46645326585974,2.8473793489740284e-26,8695.753721886746,4.468662806985972e-26
,,1.4229975207264232,9.904273589817883e-30,3.221394909492362,4.885955710533449e-26,234.2502318687693,3.600578640562459e-26,9069.152771272953,6.255798536676102e-26
,,,,3.920748222273787,6.10215000304412e-26,285.1051193569527,4.6194665147407354e-26,10196.86732210736,9.896463712645042e-30
,,,,4.771928637860011,7.644773748447976e-26,343.9153762254029,5.879090480101975e-26,9402.452321440833,9.107954798162152e-26
,,,,5.807897277224941,9.607155017081479e-26,407.51289339120774,7.514594531846128e-26,9511.072118349759,1.2991889581369876e-25
,,,,7.068771002812825,1.2148475110469574e-25,474.3231241801009,9.566483760259897e-26,9791.624858476855,2.0625265838317285e-25
,,,,8.603375904417202,1.5377941561675082e-25,542.3135114590494,1.2128397335453946e-25,,
,,,,10.471138041287968,1.9566898147775813e-25,609.0735427260441,1.5310180357067474e-25,,
,,,,12.744384657586943,2.500020873344469e-25,677.9702489136532,1.9665083137751562e-25,,
,,,,15.511144983488343,3.210795349855393e-25,747.9509694028552,2.556758298203229e-25,,
,,,,18.87855908018007,4.0854171107364563e-25,801.2405485138484,3.2355847030424225e-25,,
,,,,22.97702673292252,5.236082226318111e-25,898.4371366001496,4.251885215244299e-25,,
,,,,27.96525705395104,6.72473923836963e-25,964.8522751448427,9.957521499779717e-30,,
,,,,34.03641433610696,8.530035186284984e-25,940.9820933221912,3.0182466339755654e-25,,
,,,,41.4255981493106,1.051092873053301e-24,,,,
,,,,50.41894733922332,1.172687855608118e-24,,,,
,,,,58.68494717013637,1.0122293669892546e-24,,,,
,,,,62.470585619605075,7.4289999562795935e-25,,,,
,,,,70.17800153638788,1.0050632391849499e-29,,,,
,,,,64.74246207055769,5.120179550831282e-25,,,,
,,,,66.75543211231955,2.4748566789135444e-25,,,,
